Player,Price
Sun 10:00 am @Det,
Player Note,$-
Anthony Miller Hou - WR,
Q,
Sun 10:00 am vs Jax,
No new player Notes,$-
Van Jefferson Jr. LAR - WR,
Q,
Sun 5:20 pm vs Chi,
No new player Notes,$-
Donald Parham Jr. LAC - TE,
Q,
Sun 10:00 am @Was,
No new player Notes,$-
Wayne Gallman II SF - RB,
Sun 10:00 am @Det,
No new player Notes,$-
Matt Breida Buf - RB,
Sun 10:00 am vs Pit,
No new player Notes,$-
Mo Alie-Cox Ind - TE,
Sun 10:00 am vs Sea,
No new player Notes,$-
Le'Veon Bell KC - RB,
NA,
Sun 1:25 pm vs Cle,
No new player Notes,$-
Denzel Mims NYJ - WR,
Q,
Sun 10:00 am @Car,
No new player Notes,$-
James Washington Pit - WR,
Sun 10:00 am @Buf,
Player Note,$-
Drew Lock Den - QB,
Sun 1:25 pm @NYG,
